カード番号,カード名,カード種類,カードタイプ,色,レベル,コスト,パワー,効果テキスト,ライフバースト,使用タイミング
WXDi-D05-007,ノヴァ＝チョッパー,アシストルリグ,ノヴァ,白,2,-,-,【出】：あなたのデッキの上からカードを５枚見る。その中からシグニ１枚を場に出し、残りを好きな順番でデッキの一番下に置く。そのシグニの【出】能力は発動しない。,―,メインフェイズ アタックフェイズ
WXDi-D05-013,聖魔　プルソン,シグニ,奏像：悪魔,白,2,-,5000,【自】《自分ターン》：あなたの効果によってカードが１枚以上デッキからトラッシュに置かれたとき、ターン終了時まで、対戦相手のすべてのシグニは能力を失う。,ライフバースト：対戦相手のシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。カードを１枚引く。,―
WXDi-D04-011,ENDLESS-PUNCHLINE,ピース,-,白赤緑,-,《白》×０,-,【使用条件】【チーム】＜Card Jockey＞＆全員レベル１以上あなたのレベル３のルリグ１体を対象とし、ターン終了時まで、それは以下の能力を得る。『【常】：このルリグはダウン状態でもアタックでき、１ターンにこのルリグがアタックできる上限は３になる。【自】《ターン１回》：このルリグがアタックしたとき、あなたのデッキをシャッフルし一番上を公開する。そのカードがレベル１のシグニの場合、このターン、このルリグがアタックできる上限を２減らす。そのカードがレベル２のシグニの場合、このターン、このルリグがアタックできる上限を１減らす。』,―,メインフェイズ
WXDi-D05-015,蒼魔　キャプテン・フック,シグニ,奏像：悪魔,青,3,-,12000,【常】：あなたのトラッシュにカードが２０枚以上あるかぎり、このシグニは対戦相手の効果によってバニッシュされない。（シグニとのバトルやパワーが０以下になった場合はバニッシュされる）【自】：アタックフェイズの間、このシグニが場を離れたとき、あなたのトラッシュから《ガードアイコン》を持たないシグニ５枚を対象とし、それらをデッキに加えてシャッフルする。,ライフバースト：対戦相手のシグニ１体を対象とし、それをダウンし凍結する。カードを１枚引く。,―
WXDi-D04-010,VJ.WOLF-SYNC,アシストルリグ,WOLF,緑,2,-,-,【出】：あなたのライフクロスの一番上を見る。その後、以下の２つから１つを選ぶ。①あなたのデッキをシャッフルし一番上のカードをライフクロスに加える。②あなたのライフクロスの一番上のカードをデッキに加えてシャッフルする。そうした場合、あなたのデッキの上からカードを２枚ライフクロスに加える。,―,メインフェイズ アタックフェイズ
WXDi-D05-001,ニューボーン　Dr.タマゴ,ルリグ,タマゴ,青,0,-,-,―,―,―
WXDi-D05-002,レッツゴー　Dr.タマゴ,ルリグ,タマゴ,青,1,-,-,―,―,―
WXDi-D05-011,はんぱない★ディストラクション,ピース,-,青白緑,-,《青》×０,-,【使用条件】【チーム】＜うちゅうのはじまり＞＆全員レベル１以上あなたのレベル３のルリグ１体を対象とし、ターン終了時まで、それは以下の能力を得る。『【自】：このルリグがアタックしたとき、以下の２つから１つを選ぶ。この効果を対戦相手のセンタールリグのレベルと同じ回数行う。（１回ずつ行う。同じ選択肢を選んでもよい）①カードを１枚引く。②対戦相手の手札を１枚見ないで選び、捨てさせる。』,―,メインフェイズ
WXDi-D08-007,花代・蘭,アシストルリグ,花代,赤,2,-,-,【出】：対戦相手のシグニ１体を対象とし、それをバニッシュする。【出】《無》：対戦相手のエナゾーンから対戦相手のセンタールリグと共通する色を持たないカード１枚を対象とし、それをトラッシュに置く。,―,メインフェイズ アタックフェイズ
WXDi-D05-019,羅星　シリオス,シグニ,奏羅：宇宙,白青,2,-,10000,（エナコストを支払う際、このカードは白か青１つとして支払える）,―,―
SP38-008,轟炎　花代・爾転（「ウィクロス 10th Anniversary Book」付録）,ルリグ,花代,赤,2,-,-,【常】：あなたのグロウフェイズをスキップする。【常】《自分ターン》：あなたの中央のシグニゾーンにあるシグニのパワーを＋5000する。【起】《ゲーム１回》《赤》《赤》《赤》：このターン、次にこのルリグがアタックしたとき、そのアタックの間、対戦相手は【ガード】ができない。,―,―
WXDi-D08-008,闘娘　緑姫,ルリグ,緑子,緑,0,-,-,―,―,―
WXDi-D05-020,サーバント　＃,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WXDi-D05-008,ニューボーン　バン,ルリグ,バン,緑,0,-,-,―,―,―
WXDi-D05-012,蒼魔　シャークスピア,シグニ,奏像：悪魔,青,1,-,3000,【起】《ダウン》：あなたのデッキの上からカードを３枚トラッシュに置く。その後、あなたのトラッシュにカードが２０枚以上ある場合、《無》《無》を支払ってもよい。そうした場合、あなたのトラッシュから＜悪魔＞のシグニ１枚を対象とし、それを手札に加える。,―,―
WXDi-D08-001,新月の巫女　タマヨリヒメ,ルリグ,タマ,白,0,-,-,―,―,―
WXDi-D08-004,奏月の巫女　タマヨリヒメ,ルリグ,タマ,白,3,-,-,【自】《ターン１回》：このルリグがアタックしたとき、あなたのアップ状態のシグニ２体をダウンし《白》《無》を支払ってもよい。そうした場合、このルリグをアップし、ターン終了時まで、このルリグは能力を失う。【出】：あなたのデッキの上からカードを４枚見る。その中からカードを２枚まで手札に加え、残りを好きな順番でデッキの一番下に置く。【起】《ゲーム１回》《白×0》：ターン終了時まで、このルリグは「【自】《ターン１回》：このルリグがアタックしたとき、あなたのすべてのシグニをアップする。」を得る。,―,―
WXDi-D05-018,羅星　プロシオス,シグニ,奏羅：宇宙,白青,1,-,5000,（エナコストを支払う際、このカードは白か青１つとして支払える）,―,―
WXDi-D08-012,burning　curiosity,ピース,-,無,-,《無》×１,-,このピースを使用する際、使用コストとして追加でエクシード４を支払ってもよい。（あなたのルリグの下からカードを合計４枚ルリグトラッシュに置く）対戦相手のシグニ１体を対象とし、それをバニッシュする。追加でエクシード４を支払っていた場合、代わりにそれをゲームから除外する。,―,メインフェイズ
WXDi-D08-013,聖天　アグライア,シグニ,奏像：天使,白,1,-,1000,【自】：このシグニがアタックしたとき、手札から＜天使＞のシグニを２枚捨ててもよい。そうした場合、カードを３枚引く。,―,―
WXDi-D05-014,蒼魔　スクリュー・カーミラ,シグニ,奏像：悪魔,青,2,-,8000,【出】：対戦相手のシグニ１体を対象とし、それを凍結する。あなたのデッキの上からカードを２枚トラッシュに置く。（凍結されたシグニは次の自分のアップフェイズにアップしない）,―,―
WXDi-D08-003,半月の巫女　タマヨリヒメ,ルリグ,タマ,白,2,-,-,―,―,―
WXDi-D08-015,小装　ローメイル,シグニ,奏武：アーム,赤,1,-,2000,【出】《無》：対戦相手のパワー3000以下のシグニ１体を対象とし、それをバニッシュする。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,―,―
WXDi-D05-016,蒼将　シンパチ,シグニ,奏像：武勇,青,3,-,10000,【出】《青》：カードを１枚引く。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）【起】《ターン１回》《青》《青》《青》：対戦相手のシグニ１体を対象とし、あなたの手札が対戦相手より４枚以上多い場合、それをバニッシュする。,ライフバースト：カードを１枚引く。対戦相手は手札を１枚捨てる。,―
